#{"t_start": 1764970773.8894632, "env_id": "None"}
r,l,t,collision,coverage_total
-35.047982,199,2008.483231,0,89.22571065287902
8.827822,199,2027.04502,0,24.028008938799807
-505.900145,199,2045.593878,0,8.4001448470915
3.395494,80,2062.571372,1,5.263130140343122
47.69463,199,2081.469725,0,0.0
-146.79682,199,2100.289903,0,199.0
50.378975,199,2118.907475,0,0.0
54.015091,199,2137.546782,0,0.0
-172.825887,199,2156.475525,0,14.291606669752596
12.555024,88,2173.910412,1,4.556256979095272
-149.172597,199,2192.783511,0,199.0
53.610126,199,2211.656049,0,2.0265381625774332
42.953391,199,2230.435883,0,2.0590019149844276
5.052337,199,2249.27742,0,27.466427477083947
42.656203,199,2268.7253,0,6.889449830767671
34.940616,199,2287.739443,0,13.950880808226962
-207.911828,80,2305.110349,1,0.41182808835001417
50.10593,199,2323.961249,0,0.42689947864325906
9.955292,80,2341.245714,1,0.0
-26.526098,199,2360.18038,0,75.61288704760159
18.866681,140,2378.428022,1,6.649556391438711
37.858159,199,2397.191396,0,10.927843381834641
41.732165,199,2416.371304,0,7.376248541438072
-506.784135,199,2435.203383,0,9.284135206454009
56.763862,199,2454.125305,0,2.3472234475891827
-504.441856,199,2473.548058,0,6.941855511190021
-487.368147,199,2492.43055,0,16.01675853988513
52.764985,199,2511.284833,0,0.0
-497.5,199,2530.328523,0,0.0
10.938902,80,2547.712819,1,0.0
45.285581,199,2566.784787,0,1.0991608293608945
50.234335,199,2585.88433,0,0.050124691712815944
7.052436,71,2603.27817,1,0.0
9.764867,80,2620.661085,1,0.0
-486.0,137,2638.975669,1,137.0
-493.257832,199,2658.249036,0,0.3204135587350977
-508.15287,199,2677.315197,0,10.652870450888132
-142.275192,199,2696.296582,0,199.0
48.583619,199,2715.544394,0,0.8692042025827823
30.18061,199,2734.663292,0,15.254234749087955
28.577422,199,2754.206331,0,15.965453923484692
39.697324,199,2773.734151,0,6.13691801455516
8.648764,71,2791.520098,1,0.25812027760973716
-147.311016,199,2810.702595,0,199.0
43.949197,199,2830.084543,0,6.641506181010816
49.718999,199,2849.343515,0,0.0
44.593102,199,2868.559714,0,5.750049720220089
53.662182,199,2887.898723,0,0.0
8.152223,80,2905.76691,1,0.7194698640747296
48.423506,199,2925.068944,0,0.0
10.062426,80,2942.764667,1,0.0
8.218452,85,2960.533759,1,3.0736644155650006
10.369183,81,2978.31207,1,0.0
60.550589,199,2997.911238,0,0.0
-15.869815,199,3017.501099,0,68.26584527625994
5.917281,199,3037.068577,0,45.76627544175195
38.241368,199,3056.616989,0,13.840481825977223
53.892731,199,3075.885467,0,1.6788739965531214
-60.058939,150,3094.700406,1,0.29440341676628345
8.835438,80,3112.498359,1,0.0
-502.444265,199,3131.883157,0,4.944265226112522
49.880855,199,3151.332527,0,0.0
7.978629,80,3169.376669,1,0.8947384614121303
-255.535669,199,3189.018942,0,0.20174123358052015
28.296724,199,3208.522451,0,16.38842211266698
46.245838,199,3228.143944,0,1.1911688736080237
6.037584,199,3247.909099,0,55.767430542183355
37.283681,199,3267.507453,0,11.726151283013877
